Body,Network,Series,Batch,Geometric Mean
1-Pendulum,CHNN,avg_rel_err_pred,65,2.1343932176511636e-05
1-Pendulum,CHNN,avg_rel_err_pred,66,8.763848676797951e-05
1-Pendulum,CHNN,avg_rel_err_pred,67,4.167917833380807e-05
1-Pendulum,CHNN,avg_rel_err_pred,68,9.671819131081123e-05
1-Pendulum,CHNN,avg_rel_err_pred,69,2.1755754383121306e-05
1-Pendulum,CHNN,avg_rel_err_pred,70,7.569283814975023e-05
1-Pendulum,CHNN,avg_rel_err_pred,71,9.246922318921624e-05
1-Pendulum,CHNN,avg_rel_err_pred,72,0.00012287297988670715
1-Pendulum,CHNN,avg_rel_err_pred,73,6.002137715230607e-05
1-Pendulum,CHNN,avg_rel_err_pred,74,2.259920175210447e-05
1-Pendulum,CHNN,avg_rel_err_pred,75,6.720244925332779e-05
1-Pendulum,CHNN,avg_rel_err_pred,76,8.537589130098433e-05
1-Pendulum,CHNN,avg_rel_err_pred,77,9.906935477359278e-05
1-Pendulum,CHNN,avg_rel_err_pred,78,0.00019304956806369812
1-Pendulum,CHNN,avg_rel_err_pred,79,0.00010359875784168302
1-Pendulum,CHNN,avg_rel_err_pred,80,5.3755269574233e-05
1-Pendulum,CHNN,avg_rel_err_pred,81,6.328979422256693e-05
1-Pendulum,CHNN,avg_rel_err_pred,82,3.9979660372012286e-05
1-Pendulum,CHNN,avg_rel_err_pred,83,0.0002247093020922
1-Pendulum,CHNN,avg_rel_err_pred,84,6.804241990395043e-05
1-Pendulum,CHNN,avg_rel_err_pred,85,6.23026303006257e-05
1-Pendulum,CHNN,avg_rel_err_pred,86,2.9184645952657005e-05
1-Pendulum,CHNN,avg_rel_err_pred,87,7.227743201028506e-05
1-Pendulum,CHNN,avg_rel_err_pred,88,6.544054126287469e-05
1-Pendulum,CHNN,avg_rel_err_pred,89,9.167896774082515e-05
1-Pendulum,CHNN,avg_rel_err_pred,90,6.278274337467201e-05
1-Pendulum,CHNN,avg_rel_err_pred,91,5.813977243065766e-05
1-Pendulum,CHNN,avg_rel_err_pred,92,4.6392293608041484e-05
1-Pendulum,CHNN,avg_rel_err_pred,93,8.814458133573244e-05
1-Pendulum,CHNN,avg_rel_err_pred,94,4.2982879174756084e-05
1-Pendulum,CHNN,avg_rel_err_pred,95,5.2611968524776535e-05
1-Pendulum,CHNN,avg_rel_err_pred,96,0.00011105605133459933
1-Pendulum,CHNN,avg_rel_err_pred,97,2.898393775908878e-05
1-Pendulum,CHNN,avg_rel_err_pred,98,0.00014425620112998107
1-Pendulum,CHNN,avg_rel_err_pred,99,3.909835634019173e-05
1-Pendulum,CLNN,avg_rel_err_pert,0,1.0827654926364981e-05
1-Pendulum,CLNN,avg_rel_err_pert,1,1.7118365836308412e-05
1-Pendulum,CLNN,avg_rel_err_pert,2,7.984921729440038e-05
1-Pendulum,CLNN,avg_rel_err_pert,3,8.615750538493644e-05
1-Pendulum,CLNN,avg_rel_err_pert,4,2.9100354239726717e-05
1-Pendulum,CLNN,avg_rel_err_pert,5,4.0807783139140557e-05
1-Pendulum,CLNN,avg_rel_err_pert,6,5.882423607571752e-05
1-Pendulum,CLNN,avg_rel_err_pert,7,4.5596131493773994e-05
1-Pendulum,CLNN,avg_rel_err_pert,8,2.510881121662655e-05
1-Pendulum,CLNN,avg_rel_err_pert,9,4.4497844513085264e-06
1-Pendulum,CLNN,avg_rel_err_pert,10,7.417086124086807e-06
1-Pendulum,CLNN,avg_rel_err_pert,11,2.3486167813817643e-05
1-Pendulum,CLNN,avg_rel_err_pert,12,3.9938118999870006e-05
1-Pendulum,CLNN,avg_rel_err_pert,13,0.00014701444767425286
1-Pendulum,CLNN,avg_rel_err_pert,14,6.379438535225364e-05
1-Pendulum,CLNN,avg_rel_err_pert,15,1.1773175631773274e-05
1-Pendulum,CLNN,avg_rel_err_pert,16,5.0928209621885914e-05
1-Pendulum,CLNN,avg_rel_err_pert,17,0.00019884830768333918
1-Pendulum,CLNN,avg_rel_err_pert,18,1.3828032286509192e-05
1-Pendulum,CLNN,avg_rel_err_pert,19,3.606928095514766e-05
1-Pendulum,CLNN,avg_rel_err_pert,20,1.820100875984855e-05
1-Pendulum,CLNN,avg_rel_err_pert,21,0.0001170857402582161
1-Pendulum,CLNN,avg_rel_err_pert,22,0.00016560129634854762
1-Pendulum,CLNN,avg_rel_err_pert,23,9.058595795454287e-06
1-Pendulum,CLNN,avg_rel_err_pert,24,7.300518449623534e-06
1-Pendulum,CLNN,avg_rel_err_pert,25,4.076859149707444e-05
1-Pendulum,CLNN,avg_rel_err_pert,26,2.3801929152455108e-05
1-Pendulum,CLNN,avg_rel_err_pert,27,3.363541748538398e-05
1-Pendulum,CLNN,avg_rel_err_pert,28,4.400840036060047e-05
1-Pendulum,CLNN,avg_rel_err_pert,29,2.858524958787092e-05
1-Pendulum,CLNN,avg_rel_err_pert,30,2.1984213814840282e-05
1-Pendulum,CLNN,avg_rel_err_pert,31,9.202408079937613e-05
1-Pendulum,CLNN,avg_rel_err_pert,32,3.6973817635444606e-05
1-Pendulum,CLNN,avg_rel_err_pert,33,8.863009921177235e-05
1-Pendulum,CLNN,avg_rel_err_pert,34,4.7771585438378684e-05
1-Pendulum,CLNN,avg_rel_err_pert,35,1.6418212274810222e-05
1-Pendulum,CLNN,avg_rel_err_pert,36,5.244103352993735e-05
1-Pendulum,CLNN,avg_rel_err_pert,37,3.4539538144611876e-05
