n_train,Network,Series,Batch,Geometric Mean
10,CLNN,avg_rel_err_pert,32,4.830025679715744e-05
10,CLNN,avg_rel_err_pert,33,5.4885532880243946e-05
10,CLNN,avg_rel_err_pert,34,1.8066094568621806e-05
10,CLNN,avg_rel_err_pert,35,0.00011326220634185036
10,CLNN,avg_rel_err_pert,36,4.7288064861237677e-05
10,CLNN,avg_rel_err_pert,37,8.97533261579397e-05
10,CLNN,avg_rel_err_pert,38,8.549361135377002e-05
10,CLNN,avg_rel_err_pert,39,9.459096653498379e-05
10,CLNN,avg_rel_err_pert,40,2.6485291033944856e-05
10,CLNN,avg_rel_err_pert,41,6.07261520761927e-05
10,CLNN,avg_rel_err_pert,42,5.6802223856935155e-05
10,CLNN,avg_rel_err_pert,43,7.48300440397393e-05
10,CLNN,avg_rel_err_pert,44,4.916606213392273e-05
10,CLNN,avg_rel_err_pert,45,8.822702221252934e-05
10,CLNN,avg_rel_err_pert,46,0.0001548629740314657
10,CLNN,avg_rel_err_pert,47,2.055985218207277e-05
10,CLNN,avg_rel_err_pert,48,1.5740991854161013e-05
10,CLNN,avg_rel_err_pert,49,0.000291926840573006
10,CLNN,avg_rel_err_pert,50,7.480023008213032e-05
10,CLNN,avg_rel_err_pert,51,5.550231365219761e-05
10,CLNN,avg_rel_err_pert,52,1.6466394409756494e-05
10,CLNN,avg_rel_err_pert,53,5.710159471645312e-05
10,CLNN,avg_rel_err_pert,54,0.00015187634500270255
10,CLNN,avg_rel_err_pert,55,2.1235288556707783e-05
10,CLNN,avg_rel_err_pert,56,0.00010372846291926314
10,CLNN,avg_rel_err_pert,57,4.467465314875218e-05
10,CLNN,avg_rel_err_pert,58,8.928593615046856e-05
10,CLNN,avg_rel_err_pert,59,0.0004566480858461507
10,CLNN,avg_rel_err_pert,60,0.00016282461636255428
10,CLNN,avg_rel_err_pert,61,3.8335719786180926e-05
10,CLNN,avg_rel_err_pert,62,1.720904625179188e-05
10,CLNN,avg_rel_err_pert,63,5.066113513610138e-05
10,CLNN,avg_rel_err_pert,64,0.00024888366711166255
10,CLNN,avg_rel_err_pert,65,6.780310481517554e-05
10,CLNN,avg_rel_err_pert,66,0.0002503734111004979
10,CLNN,avg_rel_err_pert,67,0.0001750638873566961
10,CLNN,avg_rel_err_pert,68,3.0738633825849576e-05
10,CLNN,avg_rel_err_pert,69,8.138826782317972e-05
10,CLNN,avg_rel_err_pert,70,3.69015369103972e-05
10,CLNN,avg_rel_err_pert,71,3.232026822931522e-05
10,CLNN,avg_rel_err_pert,72,0.00020953072440220959
10,CLNN,avg_rel_err_pert,73,0.00016973246799134248
10,CLNN,avg_rel_err_pert,74,6.735157048539368e-05
10,CLNN,avg_rel_err_pert,75,2.7219725613348363e-05
10,CLNN,avg_rel_err_pert,76,5.3956843641909915e-05
10,CLNN,avg_rel_err_pert,77,4.9736909132435695e-05
10,CLNN,avg_rel_err_pert,78,6.375091497830164e-05
10,CLNN,avg_rel_err_pert,79,0.00010114369320248859
10,CLNN,avg_rel_err_pert,80,5.410961834523596e-05
10,CLNN,avg_rel_err_pert,81,0.0001178536482402348
10,CLNN,avg_rel_err_pert,82,1.5037703009881659e-05
10,CLNN,avg_rel_err_pert,83,4.771227041227942e-05
10,CLNN,avg_rel_err_pert,84,2.3595435399550317e-05
10,CLNN,avg_rel_err_pert,85,7.346601482149256e-05
10,CLNN,avg_rel_err_pert,86,0.0001842873660453746
10,CLNN,avg_rel_err_pert,87,4.649937687974647e-05
10,CLNN,avg_rel_err_pert,88,6.082287181260394e-05
10,CLNN,avg_rel_err_pert,89,3.256449924226643e-05
10,CLNN,avg_rel_err_pert,90,3.816560933489089e-05
10,CLNN,avg_rel_err_pert,91,3.801386101198961e-05
10,CLNN,avg_rel_err_pert,92,0.00010471329652679212
10,CLNN,avg_rel_err_pert,93,7.547302256228432e-05
10,CLNN,avg_rel_err_pert,94,6.0149207275700045e-05
10,CLNN,avg_rel_err_pert,95,2.0309012005993267e-05
10,CLNN,avg_rel_err_pert,96,6.377252335082024e-05
10,CLNN,avg_rel_err_pert,97,2.631353275799506e-05
10,CLNN,avg_rel_err_pert,98,1.546259299708498e-05
10,CLNN,avg_rel_err_pert,99,6.328072005936846e-05
10,CLNN,avg_rel_err_pred,0,0.2645389325683467
10,CLNN,avg_rel_err_pred,1,0.006169488598185761
10,CLNN,avg_rel_err_pred,2,0.21745947553740366
10,CLNN,avg_rel_err_pred,3,0.005302614472469866
10,CLNN,avg_rel_err_pred,4,0.009279728056736533
10,CLNN,avg_rel_err_pred,5,0.01085680944749345
10,CLNN,avg_rel_err_pred,6,0.008106106751973796
